facility_name,barcode,name,start_datetime,end_datetime,num_people,num_waitlist,has_reg_early_started,has_reg_ended,has_reg_priority_started,has_reg_return_started,has_reg_started
Badminton Court 6,395352,Badminton Court 6 - Wednesday  Feb 12 - 8:00 AM,2025-02-12 05:00:00,2025-02-12 06:00:00,0,0,True,False,True,True,True
Badminton Court 4,395374,Badminton Court 4 - Wednesday  Feb 12 - 12:00 PM,2025-02-12 09:00:00,2025-02-12 10:00:00,1,0,True,False,True,True,True
Badminton Court 5,395375,Badminton Court 5 - Wednesday  Feb 12 - 12:00 PM,2025-02-12 09:00:00,2025-02-12 10:00:00,0,0,True,False,True,True,True
Badminton Court 6,395376,Badminton Court 6 - Wednesday  Feb 12 - 12:00 PM,2025-02-12 09:00:00,2025-02-12 10:00:00,0,0,True,False,True,True,True
Badminton Court 4,395380,Badminton Court 4 - Wednesday  Feb 12 - 1:00 PM,2025-02-12 10:00:00,2025-02-12 11:00:00,0,0,True,False,True,True,True
Badminton Court 5,395381,Badminton Court 5 - Wednesday  Feb 12 - 1:00 PM,2025-02-12 10:00:00,2025-02-12 11:00:00,0,0,True,False,True,True,True
Badminton Court 6,395382,Badminton Court 6 - Wednesday  Feb 12 - 1:00 PM,2025-02-12 10:00:00,2025-02-12 11:00:00,0,0,True,False,True,True,True
Badminton Court 4,395392,Badminton Court 4 - Wednesday  Feb 12 - 3:00 PM,2025-02-12 12:00:00,2025-02-12 13:00:00,0,0,True,False,True,True,True
Badminton Court 5,395393,Badminton Court 5 - Wednesday  Feb 12 - 3:00 PM,2025-02-12 12:00:00,2025-02-12 13:00:00,0,0,True,False,True,True,True
Badminton Court 6,395394,Badminton Court 6 - Wednesday  Feb 12 - 3:00 PM,2025-02-12 12:00:00,2025-02-12 13:00:00,1,0,True,False,True,True,True
Badminton Court 1,395437,Badminton Court 1 - Thursday  Feb 13 - 7:00 AM,2025-02-13 04:00:00,2025-02-13 05:00:00,0,0,True,False,True,True,True
Badminton Court 2,395438,Badminton Court 2 - Thursday  Feb 13 - 7:00 AM,2025-02-13 04:00:00,2025-02-13 05:00:00,0,0,True,False,True,True,True
Badminton Court 3,395439,Badminton Court 3 - Thursday  Feb 13 - 7:00 AM,2025-02-13 04:00:00,2025-02-13 05:00:00,1,0,True,False,True,True,True
